SUBNO	HOME	NUMSIB	CRIMPAR	CRIMSIB	MENTILL	PSYCHIAT	BCARE	SIBCARE	PRECAP1	PRECAP2	CT1AGE	CTLAG	NUMAPP	HISTABSC	IQ	HT	WT	READAGE	SES	ADMITCON	ENTAGE	HOUSE	TOTLV	DAYSLV	TOTABSC	SCHOFF	REL1LAG	RELLAST	RELCON	NUMREL	AFCARE	SCHTIME	SCHCUST	RECALL	RECON2	CTAPP2	OFFLAG2	CUST2	SER1ST	SERALL
80	1	3	2	1	2	3	2	2	4	3	10	16	0	1	96	64	113	133	4	2	191	1	5	33	5	0	11	11	1	1	2	11	2	2	2	1	3	2	2.4	2.4
81	2	6	2	2	2	2	2	2	3	3	13	7	0	2	86	63	121	138	3	1	180	3	3	20	1	0	7	7	1	1	1	7	2	2	2	3	9	1	3.2	5.4
82	1	6	2	1	2	1	2	2	1	1	13	888	0	2	93	62	87	125	7	1	163	2	13	106	0	0	25	25	1	1	2	25	2	2	1	97	97	7	97	97
83	2	3	1	1	2	4	2	2	3	3	14	2	0	2	116	66	119	144	3	1	178	3	6	39	2	0	15	15	1	1	1	15	2	2	1	97	97	7	97	97
84	3	7	2	1	2	4	2	2	1	1	14	888	0	2	96	63	124	83	6	1	180	3	4	29	0	0	9	9	1	1	2	9	2	2	2	4	3	2	1.2	7.2
85	3	3	1	1	1	4	2	2	3	3	10	26	0	2	108	62	112	141	4	9	181	1	3	26	0	0	10	10	1	1	1	10	2	2	2	1	15	1	2.8	2.8
86	1	3	2	2	1	3	2	2	2	1	12	4	0	2	114	61	94	135	3	1	156	2	5	48	2	0	11	11	1	1	2	11	2	2	1	97	97	7	97	97
87	3	3	2	1	2	2	1	1	3	2	10	19	0	2	86	59	87	114	6	1	170	1	3	38	0	0	11	11	1	1	2	11	2	2	2	1	9	2	1.6	1.6
88	1	4	1	1	2	3	2	2	2	2	13	3	0	2	83	65	124	77	3	1	173	1	5	34	1	0	12	12	1	1	1	12	2	2	2	2	12	2	2.8	4.8
89	1	7	2	1	2	1	2	2	4	4	10	2	0	2	87	65	113	93	5	1	170	3	4	32	0	0	12	12	1	1	1	12	2	2	1	97	97	7	97	97
90	3	2	1	1	2	3	1	1	1	1	13	888	0	1	110	61	112	131	3	1	159	1	9	54	0	1	22	22	1	1	2	22	2	2	2	2	21	2	3.2	6.2
91	1	2	2	2	2	2	2	2	6	6	13	1	1	1	111	68	163	145	3	1	201	1	2	18	0	0	6	6	1	1	1	6	2	2	2	1	20	1	3.4	3.4
92	1	5	1	2	2	2	2	2	4	5	8	6	1	1	70	67	124	51	6	2	180	1	0	0	0	0	3	3	1	1	2	3	2	2	2	6	7	2	1.4	17
93	1	5	2	2	2	2	2	2	4	4	11	1	0	2	123	62	92	139	5	1	163	1	7	53	1	1	18	18	1	1	2	18	2	2	1	97	97	7	97	97
94	2	2	2	2	2	3	1	1	2	1	13	8	0	2	101	61	93	139	3	1	185	3	2	11	0	0	10	10	1	1	2	10	2	2	1	97	97	7	97	97
95	1	2	1	2	1	2	2	2	3	2	11	5	0	1	93	67	126	148	3	2	181	3	4	43	1	0	8	8	1	1	1	8	2	2	2	2	16	2	3.6	5
96	1	5	2	1	2	3	2	1	2	1	13	6	0	2	88	65	149	113	5	2	175	3	5	34	0	0	10	10	1	1	1	10	2	2	1	97	97	7	97	97
97	2	1	2	2	2	1	2	2	2	2	14	8	0	2	109	68	125	129	3	1	181	3	5	30	2	0	11	11	1	1	2	11	2	2	2	1	5	1	2.8	2.8
98	2	0	2	8	1	1	2	8	2	2	12	3	0	2	116	63	100	146	3	1	159	3	17	97	7	0	21	21	1	1	2	21	2	2	2	1	3	1	4.4	4.4
99	2	1	2	2	2	1	1	1	1	1	13	888	0	1	91	67	134	133	3	1	166	3	7	51	2	0	15	19	1	2	9	17	2	1	2	2	2	2	99	99
100	1	7	2	1	2	3	2	2	3	3	13	7	0	2	95	63	109	135	6	1	181	3	4	33	0	1	10	10	1	1	1	10	2	2	2	2	20	1	2.8	6.2
101	1	6	2	2	2	3	2	2	2	2	13	6	0	1	87	62	103	69	2	1	169	1	4	26	8	2	11	11	2	1	8	11	1	2	2	98	98	8	98	98
102	2	6	2	2	2	3	1	2	3	4	11	24	0	1	97	62	93	145	4	1	187	2	3	22	1	0	7	7	1	1	2	7	2	2	2	1	11	2	3	3
103	1	7	2	1	2	3	2	2	5	5	10	2	1	1	112	58	79	139	3	2	159	2	4	30	1	0	9	9	1	1	1	9	2	2	2	2	7	2	2.6	5.2
104	3	2	2	1	1	1	2	2	1	1	14	888	0	2	98	62	106	138	2	1	177	1	9	48	1	0	18	18	1	1	2	18	2	2	2	3	9	2	3.2	9.4
105	1	1	2	2	1	1	2	2	3	2	8	1	1	1	101	64	120	113	7	1	167	3	9	59	14	1	15	22	1	2	9	15	2	1	2	4	5	2	99	99
106	1	0	2	8	2	1	2	8	3	3	12	1	0	2	116	60	84	69	3	1	163	3	10	91	1	0	18	18	1	1	1	18	2	2	2	1	8	1	4.6	4.6
107	1	2	2	2	1	2	2	2	1	1	13	888	0	2	124	61	87	145	7	1	160	2	11	79	4	0	21	21	1	1	2	21	2	2	2	2	16	1	2	4.2
108	1	4	2	1	2	1	2	2	6	6	9	3	1	1	109	61	94	124	6	2	165	3	7	104	0	0	8	19	1	2	1	17	2	1	2	4	2	2	2.8	11
109	1	12	1	1	2	4	1	1	7	4	12	5	1	2	83	59	85	58	3	1	179	1	5	40	10	2	17	17	2	1	8	17	1	2	2	98	98	8	98	98
110	1	1	2	2	2	2	2	2	5	5	11	2	0	2	96	69	135	133	7	1	173	1	2	13	12	1	8	8	2	1	8	8	1	2	1	98	98	8	98	98
111	1	7	1	1	2	3	2	2	2	2	13	1	0	1	97	62	99	120	4	1	160	1	8	49	16	2	19	19	2	1	8	19	1	2	2	98	98	8	98	98
112	1	4	2	2	2	4	2	2	2	0	13	11	0	2	98	65	127	136	5	9	177	3	4	19	0	0	7	7	1	1	1	7	2	2	1	97	97	7	97	97
113	1	5	1	1	2	1	2	2	4	4	8	4	1	1	101	66	143	133	3	1	175	3	6	29	0	0	9	20	1	2	1	11	2	1	2	3	8	2	4.6	8.6
114	1	1	2	2	2	2	2	2	8	7	10	3	1	1	92	63	130	140	3	1	193	1	1	1	0	0	2	2	1	1	1	2	2	2	2	5	8	2	3.6	17.2
115	2	2	2	2	2	1	1	2	4	3	12	3	0	1	128	66	126	145	3	2	208	1	1	1	0	0	2	2	1	1	2	2	2	2	1	97	97	7	97	97
116	1	1	2	1	2	1	2	2	2	3	10	1	0	1	93	65	131	130	3	1	166	1	6	45	1	0	16	16	1	1	1	16	2	2	2	2	7	2	3.6	99
117	1	5	2	2	2	2	2	2	2	2	13	5	0	2	113	62	104	143	3	1	170	2	5	39	1	0	13	13	1	1	9	13	2	2	2	3	13	2	4.6	11.2
118	1	2	1	2	2	2	2	2	4	3	11	1	1	1	101	62	105	111	3	2	180	2	1	9	3	1	4	4	2	1	8	4	1	2	2	98	98	8	98	98
119	1	8	1	1	2	3	2	2	5	4	12	1	2	1	95	68	145	139	4	2	195	2	2	11	0	0	2	2	1	1	1	2	2	2	2	1	11	2	4.6	4.6
120	2	1	1	2	2	1	2	2	3	3	14	1	0	1	127	61	111	138	3	1	180	1	23	84	1	0	17	17	1	1	1	17	2	2	1	97	97	7	97	97
121	1	6	2	1	2	3	2	2	3	4	12	2	0	2	93	59	85	134	6	1	168	2	16	79	1	0	18	18	1	1	2	18	2	2	2	1	1	1	2.2	2.2
122	1	9	1	1	1	1	1	1	3	2	13	2	0	1	99	69	140	138	6	1	177	2	2	12	2	1	7	7	2	1	8	7	1	2	2	98	98	8	98	98
123	1	3	2	1	2	3	2	2	5	5	12	4	0	2	97	58	83	136	4	1	173	1	20	108	1	1	20	20	1	1	1	20	2	2	1	97	97	7	97	97
124	3	5	2	1	1	2	2	2	4	1	10	2	0	1	98	64	150	144	4	9	177	2	1	9	8	0	9	9	3	1	8	9	2	2	2	98	98	8	98	98
125	1	2	2	2	2	4	2	2	1	1	14	888	0	2	117	72	140	147	3	1	177	3	6	33	1	3	13	13	4	1	8	13	2	2	1	98	98	8	98	98
126	2	6	2	1	2	3	2	2	4	4	12	3	1	1	91	66	121	74	3	2	185	2	0	0	4	1	2	2	2	1	8	2	1	2	1	98	98	8	98	98
127	1	4	2	1	2	2	2	2	2	2	11	26	0	2	108	64	128	132	4	1	162	2	11	66	3	1	18	18	1	1	1	18	2	2	1	97	97	7	97	97
128	2	1	2	2	2	1	2	2	2	2	9	55	0	1	91	66	135	108	3	1	165	2	3	22	3	1	12	12	2	1	8	12	1	2	2	98	98	8	98	98
129	2	0	2	8	2	3	2	8	3	3	10	18	0	2	148	61	112	147	3	1	163	3	1	7	6	0	6	6	3	1	8	6	2	2	2	98	98	8	98	98
130	1	1	2	2	2	1	2	2	1	1	14	888	1	1	101	67	144	136	3	2	179	2	7	36	0	0	7	7	1	1	2	7	2	2	1	97	97	7	97	97
131	1	2	2	2	2	2	1	2	6	6	10	1	0	2	97	65	114	141	3	1	174	2	1	7	5	1	8	8	3	1	8	8	2	2	2	98	98	8	98	98
132	1	4	1	1	2	3	2	2	3	3	11	4	0	2	105	59	93	139	4	1	165	2	14	74	0	0	17	17	1	1	2	17	2	2	2	1	22	2	3.4	3.4
133	1	3	2	2	1	4	2	2	2	2	12	20	0	2	113	64	139	141	7	1	175	3	6	81	1	2	14	14	1	1	2	14	2	2	1	97	97	7	97	97
134	3	1	2	2	2	1	2	2	1	1	13	888	0	2	114	56	84	146	3	1	164	2	9	66	7	1	22	22	2	1	8	22	1	2	2	98	98	8	98	98
