"","qb10_1","qb10_2","qb10_3","qb10_4","qb10_5","qb10_6","qb10_7","qb10_8","qb10_9","qb10_10","qb10_11","qb10_12","d10","d11","isocntry","d1","d25","d15a","uniqid","at_sexviol"
"5490",1,1,1,1,0,0,0,0,0,0,0,0,1,68,"FR",5,2,4,70001685,4
"5491",0,0,0,0,0,0,0,0,0,1,0,0,1,20,"FR",4,2,17,70001686,0
"5492",0,0,0,0,0,0,0,0,0,1,0,0,1,62,"FR",5,2,4,70001687,0
"5493",0,0,0,0,0,0,0,0,0,1,0,0,2,21,"FR",NA,2,14,70001688,0
"5494",0,0,0,0,0,0,0,0,0,1,0,0,2,71,"FR",8,2,4,70001694,0
"5495",0,0,0,0,0,0,0,0,0,1,0,0,2,86,"FR",5,2,1,70001699,0
"5496",1,0,0,0,0,0,0,0,0,0,0,0,2,82,"FR",NA,2,4,70001703,1
"5497",0,0,0,0,0,0,0,0,0,1,0,0,2,29,"FR",4,2,12,70001708,0
"5498",0,0,0,0,0,0,1,0,0,0,0,0,2,77,"FR",1,2,4,70001715,1
"5499",0,0,0,0,0,0,0,0,0,1,0,0,1,71,"FR",3,2,4,70001717,0
"5500",0,0,0,0,0,0,0,0,0,1,0,0,1,35,"FR",NA,2,15,70001721,0
"5501",1,1,0,0,1,1,0,0,0,0,0,0,2,21,"FR",NA,2,2,70001722,4
"5502",1,0,0,0,1,0,0,0,0,0,0,0,1,29,"FR",NA,2,17,70001725,2
"5503",0,0,0,0,0,0,0,0,0,1,0,0,2,26,"FR",3,3,12,70001726,0
"5504",1,0,0,0,0,0,1,1,0,0,0,0,2,51,"FR",4,3,15,70001728,3
"5505",0,0,0,0,0,0,0,0,0,1,0,0,2,66,"FR",3,2,4,70001729,0
"5506",1,1,0,0,1,1,1,0,0,0,0,0,2,73,"FR",5,3,4,70001732,5
"5507",0,0,0,0,0,0,0,0,0,1,0,0,2,29,"FR",NA,3,2,70001739,0
"5508",0,0,0,0,0,0,0,0,0,1,0,0,2,24,"FR",3,3,15,70001743,0
