"","uniqid","at_sexviol","gender","age","politics","urban","occupation","region"
"6892",80002670,0,1,26,NA,3,12,"Western"
"6893",80002674,0,2,42,3,1,11,"Western"
"6894",80002677,0,1,53,2,1,17,"Western"
"6895",80002678,0,1,34,5,1,11,"Western"
"6896",80002688,3,2,78,6,2,4,"Western"
"6897",80002689,2,1,67,7,2,14,"Western"
"6898",80002691,2,2,63,8,2,4,"Western"
"6899",80002693,2,1,23,5,2,2,"Western"
"6900",80002700,9,2,65,4,2,13,"Western"
"6901",80002710,2,2,67,4,2,13,"Western"
"6902",80002713,2,1,21,5,2,13,"Western"
"6903",80002717,4,1,38,5,2,10,"Western"
"6904",80002718,0,1,36,6,3,17,"Western"
"6905",80002721,1,1,64,6,3,10,"Western"
"6906",80002722,0,1,76,2,1,4,"Western"
"6907",80002729,0,2,24,5,1,15,"Western"
"6908",80002730,0,1,65,3,1,4,"Western"
"6909",80002732,0,2,17,NA,3,2,"Western"
"6910",80002735,0,2,57,7,3,12,"Western"
"6911",80002743,0,2,68,8,3,3,"Western"
"6912",80002746,0,2,36,4,3,12,"Western"
"6913",80002749,0,1,30,2,3,14,"Western"
"6914",80002751,1,1,22,4,3,15,"Western"
"6915",80002752,0,1,72,5,3,4,"Western"
"6916",80002754,0,1,63,5,3,16,"Western"
"6917",80002755,0,2,42,3,3,15,"Western"
"6918",80002769,0,2,36,5,3,12,"Western"
"6919",80002770,0,2,60,4,3,12,"Western"
"6920",80002771,0,2,91,7,3,15,"Western"
"6921",80002772,0,1,74,5,3,1,"Western"
"6922",80002777,0,2,70,6,3,11,"Western"
"6923",80002778,0,2,46,4,3,13,"Western"
"6924",80002780,0,2,36,5,1,12,"Western"
"6925",80002781,0,1,63,7,1,4,"Western"
"6926",80002782,0,1,57,3,3,7,"Western"
"6927",80002783,0,2,52,4,3,7,"Western"
"6928",80002809,0,2,31,6,3,13,"Western"
"6929",80002811,0,2,47,8,3,11,"Western"
"6930",80002820,0,2,36,NA,3,14,"Western"
"6931",80002828,0,1,77,9,3,4,"Western"
"6932",80002831,0,1,47,5,3,14,"Western"
"6933",80002832,0,2,39,8,3,12,"Western"
"6934",80002833,0,1,16,NA,3,2,"Western"
"6935",80002834,3,2,45,5,2,1,"Western"
"6936",80002835,3,2,22,5,2,1,"Western"
"6937",80002836,3,2,42,5,2,1,"Western"
"6938",80002837,3,2,79,3,2,1,"Western"
"6939",80002840,3,2,55,5,2,1,"Western"
"6940",80002843,3,2,26,7,2,1,"Western"
"6941",80002844,0,1,45,5,2,12,"Western"
"6942",80002846,0,2,42,6,2,13,"Western"
"6943",80002847,4,2,46,7,2,12,"Western"
"6944",80002848,3,1,32,3,2,11,"Western"
"6945",80002849,0,1,56,5,2,4,"Western"
"6946",80002850,0,2,48,8,2,11,"Western"
"6947",80002851,0,1,47,5,2,11,"Western"
"6948",80002852,0,2,50,7,2,3,"Western"
"6949",80002854,0,2,57,8,2,13,"Western"
"6950",80002855,0,2,30,5,3,13,"Western"
"6951",80002856,1,2,36,5,2,12,"Western"
"6952",80002857,1,1,69,5,2,4,"Western"
"6953",80002859,0,1,45,9,2,12,"Western"
"6954",80002860,0,1,59,8,2,7,"Western"
"6955",80002861,0,1,29,5,2,11,"Western"
"6956",80002863,0,2,52,8,2,1,"Western"
"6957",80002865,NA,1,17,5,2,2,"Western"
"6958",80002868,0,1,47,5,2,11,"Western"
"6959",80002869,0,1,35,5,2,13,"Western"
"6960",80002871,0,1,40,5,2,17,"Western"
"6961",80002884,0,1,49,3,3,16,"Western"
"6962",80002887,0,2,66,5,3,1,"Western"
"6963",80002890,0,1,71,6,3,4,"Western"
"6964",80002892,2,1,28,NA,2,9,"Western"
"6965",80002893,3,2,60,5,2,1,"Western"
"6966",80002895,2,1,58,3,2,5,"Western"
"6967",80002897,3,1,61,5,2,8,"Western"
"6968",80002899,0,1,33,5,3,12,"Western"
"6969",80002900,0,1,67,4,3,9,"Western"
"6970",80002903,0,1,35,8,2,10,"Western"
"6971",80002904,3,1,45,5,2,11,"Western"
"6972",80002905,0,2,30,7,2,12,"Western"
"6973",80002906,0,1,50,5,2,12,"Western"
"6974",80002907,0,2,43,5,2,13,"Western"
"6975",80002908,NA,2,50,5,2,13,"Western"
"6976",80002909,3,1,48,5,2,12,"Western"
"6977",80002910,3,1,37,5,2,11,"Western"
"6978",80002911,0,2,52,5,1,1,"Western"
"6979",80002912,1,1,20,5,1,2,"Western"
"6980",80002914,0,2,37,5,3,12,"Western"
"6981",80002915,0,1,25,3,3,3,"Western"
"6982",80002916,1,1,36,5,3,15,"Western"
"6983",80002917,0,2,49,NA,3,1,"Western"
"6984",80002918,0,1,30,5,3,15,"Western"
"6985",80002919,0,2,31,5,3,12,"Western"
"6986",80002920,0,1,29,5,3,12,"Western"
"6987",80002921,1,1,28,4,1,13,"Western"
"6988",80002922,0,2,68,5,3,4,"Western"
"6989",80002926,3,2,61,5,2,1,"Western"
"6990",80002928,2,2,42,NA,2,1,"Western"
"6991",80002930,3,2,33,5,2,17,"Western"
"6992",80002931,3,2,22,5,2,15,"Western"
"6993",80002932,3,2,61,3,2,1,"Western"
"6994",80002933,3,2,35,4,2,1,"Western"
"6995",80002936,0,2,55,NA,3,1,"Western"
"6996",80002937,0,1,54,5,3,13,"Western"
"6997",80002939,0,2,82,5,3,4,"Western"
"6998",80002942,0,1,79,4,3,4,"Western"
"6999",80002945,0,1,17,NA,3,2,"Western"
"7000",80002946,0,2,81,NA,3,4,"Western"
"7001",80002948,0,1,87,3,3,4,"Western"
"7002",80002954,0,1,36,8,3,9,"Western"
"7003",80002956,0,1,62,4,3,1,"Western"
"7004",80002959,0,2,62,5,3,12,"Western"
"7005",80002962,0,2,66,7,1,4,"Western"
"7006",80002976,0,2,31,5,1,17,"Western"
"7007",80002978,0,1,53,NA,2,12,"Western"
"7008",80002979,0,2,62,5,2,4,"Western"
"7009",80002985,0,1,28,NA,2,13,"Western"
"7010",80002987,0,1,63,NA,2,4,"Western"
"7011",80002989,0,1,65,8,2,4,"Western"
"7012",80002990,0,2,39,NA,2,12,"Western"
"7013",80002992,0,1,48,NA,2,13,"Western"
"7014",80002997,0,1,30,5,2,3,"Western"
"7015",80003003,2,1,19,7,2,3,"Western"
"7016",80003006,0,2,39,NA,2,13,"Western"
"7017",80003007,0,1,52,3,2,7,"Western"
"7018",80003009,0,1,76,8,1,4,"Western"
"7019",80003010,0,1,68,NA,1,4,"Western"
"7020",80003011,0,1,80,4,1,4,"Western"
"7021",80003012,2,1,63,6,1,4,"Western"
"7022",80003015,1,1,55,5,1,9,"Western"
"7023",80003016,NA,1,19,NA,1,17,"Western"
"7024",80003020,0,2,41,5,1,1,"Western"
"7025",80003023,NA,1,33,NA,1,17,"Western"
"7026",80003024,0,2,17,NA,1,2,"Western"
"7027",80003032,0,1,56,7,2,14,"Western"
"7028",80003035,1,2,65,5,2,15,"Western"
"7029",80003038,0,1,52,5,2,4,"Western"
"7030",80003042,2,2,52,7,2,4,"Western"
"7031",80003044,0,2,55,3,1,1,"Western"
"7032",80003045,0,2,35,5,1,1,"Western"
"7033",80003046,0,2,27,5,1,18,"Western"
"7034",80003051,0,2,48,5,1,18,"Western"
"7035",80003055,0,2,40,7,1,13,"Western"
"7036",80003060,0,2,43,5,1,12,"Western"
